,add,sub,mul,cmp,div,exp,pw2,mtf
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
0,"{'retire_tick': 36, 'inst_id': 0}","{'retire_tick': 32, 'inst_id': 0}","{'retire_tick': 31, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 37, 'inst_id': 0}","{'retire_tick': 44, 'inst_id': 0}"
1,"{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}","{'retire_tick': 0, 'inst_id': 0}",,,,
